LED_CHAMBER_2022
DATE: 2023-2-2
TIME: 13:11:44
(START)WAIT_TIME: 10 MIN
LED_RATE: 10
LED_VALUE: 0.0 10.0 20.0 30.0 40.0 50.0 60.0 70.0 80.0 90.0 100
CYCLE_COUNT: 120 CYCLE_MINUTE: 20.0 MINUTE
STIR_PUMP_RATE: 30 ML/MIN

NO LED_RATE NO_CYCLE DATE TIME OXYZEN_VALUE TEMP_VALUE
338 2 98 2023-2-2 14:18:15 253.22 24.09
339 2 99 2023-2-2 14:18:25 253.41 24.09
340 2 100 2023-2-2 14:18:35 253.15 24.09
341 2 101 2023-2-2 14:18:45 253.94 24.09
342 2 102 2023-2-2 14:18:55 253.37 24.09
343 2 103 2023-2-2 14:19:5 253.22 24.09
344 2 104 2023-2-2 14:19:15 253.51 24.09
345 2 105 2023-2-2 14:19:25 253.65 24.09
346 2 106 2023-2-2 14:19:35 253.63 24.09
347 2 107 2023-2-2 14:19:45 253.08 24.09
348 2 108 2023-2-2 14:19:55 253.18 24.06
349 2 109 2023-2-2 14:20:5 254.36 24.06
350 2 110 2023-2-2 14:20:15 254.0 24.06
351 2 111 2023-2-2 14:20:25 253.16 24.06
352 2 112 2023-2-2 14:20:35 253.76 24.06
353 2 113 2023-2-2 14:20:45 254.12 24.06
354 2 114 2023-2-2 14:20:55 254.21 24.06
355 2 115 2023-2-2 14:21:5 253.57 24.06
356 2 116 2023-2-2 14:21:15 253.42 24.06
357 2 117 2023-2-2 14:21:25 254.24 24.06
358 2 118 2023-2-2 14:21:35 253.71 24.06
359 2 119 2023-2-2 14:21:45 253.76 24.06
360 2 120 2023-2-2 14:21:55 253.45 24.06
361 3 1 2023-2-2 14:22:8 254.17 24.03
362 3 2 2023-2-2 14:22:18 253.74 24.03
363 3 3 2023-2-2 14:22:28 254.53 24.03
364 3 4 2023-2-2 14:22:38 253.67 24.03
365 3 5 2023-2-2 14:22:48 254.25 24.03
366 3 6 2023-2-2 14:22:58 254.05 24.03
367 3 7 2023-2-2 14:23:8 254.34 24.03
368 3 8 2023-2-2 14:23:18 253.19 24.03
369 3 9 2023-2-2 14:23:28 254.51 24.03
370 3 10 2023-2-2 14:23:38 254.22 24.03
371 3 11 2023-2-2 14:23:48 253.98 24.03
372 3 12 2023-2-2 14:23:58 253.57 24.03
373 3 13 2023-2-2 14:24:8 253.93 24.03
374 3 14 2023-2-2 14:24:18 254.9 24.01
375 3 15 2023-2-2 14:24:28 253.53 24.03
376 3 16 2023-2-2 14:24:38 254.46 24.03
377 3 17 2023-2-2 14:24:48 254.05 24.03
378 3 18 2023-2-2 14:24:58 254.44 24.03
379 3 19 2023-2-2 14:25:8 254.56 24.03
380 3 20 2023-2-2 14:25:18 254.05 24.03
381 3 21 2023-2-2 14:25:28 253.79 24.03
382 3 22 2023-2-2 14:25:38 254.95 24.01
383 3 23 2023-2-2 14:25:48 254.82 24.03
384 3 24 2023-2-2 14:25:58 253.43 24.03
385 3 25 2023-2-2 14:26:8 254.22 24.03
386 3 26 2023-2-2 14:26:18 254.59 24.01
387 3 27 2023-2-2 14:26:28 254.9 24.03
388 3 28 2023-2-2 14:26:38 253.48 24.03
389 3 29 2023-2-2 14:26:48 254.54 24.01
390 3 30 2023-2-2 14:26:58 254.45 24.01
391 3 31 2023-2-2 14:27:8 254.35 24.01
392 3 32 2023-2-2 14:27:18 254.66 24.01
393 3 33 2023-2-2 14:27:28 253.75 24.01
394 3 34 2023-2-2 14:27:38 254.45 24.01
395 3 35 2023-2-2 14:27:48 254.47 24.01
396 3 36 2023-2-2 14:27:58 254.73 24.01
397 3 37 2023-2-2 14:28:8 253.51 24.01
398 3 38 2023-2-2 14:28:18 254.71 24.01
399 3 39 2023-2-2 14:28:28 254.76 24.01
400 3 40 2023-2-2 14:28:38 254.59 24.01
401 3 41 2023-2-2 14:28:48 253.84 24.01
402 3 42 2023-2-2 14:28:58 254.78 24.01
403 3 43 2023-2-2 14:29:8 254.73 24.01
404 3 44 2023-2-2 14:29:18 253.46 24.01
405 3 45 2023-2-2 14:29:28 254.71 24.01
406 3 46 2023-2-2 14:29:38 254.23 24.01
407 3 47 2023-2-2 14:29:48 254.71 24.01
408 3 48 2023-2-2 14:29:58 254.4 24.01
409 3 49 2023-2-2 14:30:8 254.4 24.01
410 3 50 2023-2-2 14:30:18 253.89 24.01
411 3 51 2023-2-2 14:30:28 254.64 24.01
412 3 52 2023-2-2 14:30:38 254.83 24.01
413 3 53 2023-2-2 14:30:48 254.16 23.98
414 3 54 2023-2-2 14:30:58 254.16 24.01
415 3 55 2023-2-2 14:31:8 254.54 24.01
416 3 56 2023-2-2 14:31:18 254.95 24.01
417 3 57 2023-2-2 14:31:28 253.41 24.01
418 3 58 2023-2-2 14:31:38 254.98 23.98
419 3 59 2023-2-2 14:31:48 254.6 23.98
420 3 60 2023-2-2 14:31:58 254.5 23.98
421 3 61 2023-2-2 14:32:8 255.03 23.98
422 3 62 2023-2-2 14:32:18 254.31 23.98
423 3 63 2023-2-2 14:32:28 254.72 23.98
424 3 64 2023-2-2 14:32:38 254.62 23.98
425 3 65 2023-2-2 14:32:48 255.18 23.98
426 3 66 2023-2-2 14:32:58 253.47 23.98
427 3 67 2023-2-2 14:33:8 254.93 23.98
428 3 68 2023-2-2 14:33:18 254.45 23.98
429 3 69 2023-2-2 14:33:28 254.84 23.98
430 3 70 2023-2-2 14:33:38 253.88 23.98
431 3 71 2023-2-2 14:33:48 255.01 23.98
432 3 72 2023-2-2 14:33:58 255.06 23.98
433 3 73 2023-2-2 14:34:8 254.04 23.98
434 3 74 2023-2-2 14:34:18 255.13 23.98
435 3 75 2023-2-2 14:34:28 254.12 23.95
436 3 76 2023-2-2 14:34:38 255.06 23.98
437 3 77 2023-2-2 14:34:48 254.67 23.98
438 3 78 2023-2-2 14:34:58 254.33 23.98
439 3 79 2023-2-2 14:35:8 253.97 23.98
440 3 80 2023-2-2 14:35:18 254.57 23.98
441 3 81 2023-2-2 14:35:28 254.93 23.98
442 3 82 2023-2-2 14:35:38 254.21 23.98
443 3 83 2023-2-2 14:35:48 254.36 23.95
444 3 84 2023-2-2 14:35:58 254.77 23.95
445 3 85 2023-2-2 14:36:8 255.55 23.95
446 3 86 2023-2-2 14:36:18 254.0 23.95
447 3 87 2023-2-2 14:36:28 255.23 23.95
